Screen,start,end,Duration
110,0.009922691,0.010051927,0.000129236
10,0.010051927,0.010492904,0.000440977
110,0.010492905,0.010548252,5.53E-05
221,0.010548252,0.010695405,0.000147153
241,0.010695404,0.010707233,1.18E-05
110,0.010766964,0.011438014,0.00067105
17,0.011438014,0.011802223,0.000364209
105,0.011802223,0.011868141,6.59E-05
209,0.011868141,0.011896447,2.83E-05
221,0.011896447,0.011968415,7.20E-05
220,0.011968415,0.012020183,5.18E-05
17,0.012020183,0.012281036,0.000260853
2,0.012281036,0.012435488,0.000154452
224,0.012435488,0.012488426,5.29E-05
2,0.012488426,0.012549568,6.11E-05
113,0.012549568,0.012577516,2.79E-05
114,0.012577515,0.012602924,2.54E-05
2,0.012602924,0.012700073,9.71E-05
19,0.012700073,0.012806855,0.000106782
49,0.012806855,0.012865937,5.91E-05
20,0.012865937,0.012914178,4.82E-05
101,0.012914178,0.012927697,1.35E-05
108,0.012927696,0.012944305,1.66E-05
99,0.012944305,0.013000821,5.65E-05
2,0.013018159,0.013058985,4.08E-05
241,0.013058985,0.013548492,0.000489507
224,0.013548492,0.01380833,0.000259838
110,0.01380833,0.014295888,0.000487558
241,0.014295888,0.014531125,0.000235237
10,0.014531124,0.014633835,0.000102711
241,0.014942907,0.015179944,0.000237037
110,0.015179944,0.015362189,0.000182245
212,0.015362189,0.015542258,0.000180069
224,0.015542259,0.015624342,8.21E-05
220,0.015624342,0.015687768,6.34E-05
241,0.015687768,0.01614596,0.000458192